#
#   VizieR Astronomical Server vizier.cfa.harvard.edu
#    Date: 2018-03-31T19:04:16 [V1.99+ (14-Oct-2013)]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	votable-version=1.99+ (14-Oct-2013)	
#INFO	-ref=VIZ5abfdb1b1d11f	
#INFO	-out.max=unlimited	
#INFO	queryParameters=15	
#-oc.form=dec
#-out.max=unlimited
#-out.add=_Glon,_Glat
#-nav=cat:B/ocl&tab:{B/ocl/clusters}&key:source=B/ocl/clusters&HTTPPRM:&
#-c.eq=J2000
#-c.r=  2
#-c.u=arcmin
#-c.geom=r
#-source=B/ocl/clusters
#-order=I
#-out=Cluster
#-out=RAJ2000
#-out=DEJ2000
#-out=Dist
#-out=Age
#

#RESOURCE=yCat_102022
#Name: B/ocl
#Title: Optically visible open clusters and Candidates (Dias+ 2002-2015)
#Coosys	G:	galactic
#Table	B_ocl_clusters:
#Name: B/ocl/clusters
#Title: The Catalogue Data File (V3.5)
#Column	_Glon	(F7.3)	Galactic longitude (computed by VizieR, not part of the original data)	[ucd=pos.galactic.lon]
#Column	_Glat	(F7.3)	Galactic latitude (computed by VizieR, not part of the original data)	[ucd=pos.galactic.lat]
#Column	Cluster	(a17)	Cluster name	[ucd=meta.id;meta.main]
#Column	RAJ2000	(A8)	Right Ascension J2000	[ucd=pos.eq.ra;meta.main]
#Column	DEJ2000	(A9)	Declination J2000	[ucd=pos.eq.dec;meta.main]
#Column	Dist	(I5)	[25/15000]? Distance from WEBDA [NULL integer written as an empty string]	[ucd=pos.distance;pos.heliocentric]
#Column	Age	(F6.3)	[6/10.1]? Age (in log t)	[ucd=time.age]
_Glon	_Glat	Cluster	RAJ2000	DEJ2000	Dist	Age
200.982	-18.344	Briceno 1        	05 24 36	+01 48 00	  460	 6.930
174.435	 -1.787	Berkeley 69      	05 24 36	+32 39 00	 2860	 8.950
176.562	 -3.071	ASCC 17          	05 25 12	+30 10 12	 2000	 7.120
172.639	 -0.323	FSR 0775         	05 25 35	+34 57 27	 1300	 8.720
177.322	 -3.451	NGC 1896         	05 25 42	+29 19 42	 2600	 9.100
166.894	 +3.580	Berkeley 70      	05 25 42	+41 54 00	 4168	 9.670
172.740	 -0.321	Majaess 58       	05 25 52	+34 52 30	     	
163.083	 +6.159	NGC 1883         	05 25 54	+46 29 24	 4800	 9.000
188.005	-10.317	Collinder 65     	05 26 06	+16 42 01	  580	 8.800
202.085	-18.481	ASCC 18          	05 26 10	+00 49 12	  500	 7.120
159.510	 +8.586	SAI 49           	05 26 25	+50 47 03	 2720	 9.050
171.889	 +0.453	Czernik 21       	05 26 41	+36 00 49	 2300	 9.550
197.271	-15.556	Mamajek 3        	05 27 11	+06 16 00	   92	 7.300
196.585	-15.103	Dolidze 21       	05 27 24	+07 04 00	 3599	 8.250
173.047	 -0.119	FSR 0777         	05 27 31	+34 44 01	 1000	 7.625
204.889	-19.466	ASCC 19          	05 27 47	-01 58 48	  350	 7.640
173.863	 -0.590	Dolidze 20       	05 27 49	+33 47 36	  900	 7.300
168.410	 +3.094	Waterloo 2       	05 28 01	+40 22 18	  550	 8.330
172.619	 +0.306	NGC 1907         	05 28 05	+35 19 30	 1800	 8.500
173.373	 -0.189	Stock 8          	05 28 07	+34 25 24	 2005	 6.300
173.107	 +0.046	Kronberger 1     	05 28 21	+34 46 30	 1900	 7.500
172.250	 +0.695	NGC 1912         	05 28 40	+35 50 54	 1400	 8.500
201.669	-17.526	ASCC 20          	05 28 44	+01 37 48	  450	 7.350
199.861	-16.479	ASCC 21          	05 28 59	+03 39 00	  500	 7.110
170.441	 +2.282	Teutsch 52       	05 30 18	+38 13 53	 3240	 8.700
173.898	 +0.281	NGC 1931         	05 31 25	+34 14 42	 2300	 6.300
203.483	-17.373	Berkeley 20      	05 32 37	+00 11 18	 8400	 9.780
169.414	 +3.664	FSR 0761         	05 33 23	+39 50 44	 3743	 8.985
180.677	 -3.538	Dol Dzim 3       	05 33 42	+26 29 00	 2530	 8.600
181.506	 -3.892	FSR 0842         	05 34 22	+25 35 44	 3816	 6.550
170.144	 +3.487	FSR 0763         	05 34 39	+39 08 12	     	
195.048	-12.004	Collinder 69     	05 35 06	+09 56 00	  400	 6.700
208.007	-18.939	NGC 1981         	05 35 08	-04 20 35	  380	 6.700
208.472	-19.127	NGC 1977         	05 35 16	-04 49 12	  500	 7.080
209.010	-19.386	Trapezium        	05 35 16	-05 23 24	  414	 7.110
209.523	-19.593	NGC 1980         	05 35 24	-05 54 54	  550	 6.670
205.030	-17.351	Collinder 70     	05 35 30	-01 06 00	  387	 6.980
181.393	 -3.410	Dol Dzim 4       	05 35 54	+25 57 00	 1220	 8.000
174.534	 +1.072	NGC 1960         	05 36 18	+34 08 24	 1330	 7.400
176.490	 -0.110	FSR 0807         	05 36 34	+31 51 20	 1300	 6.700
177.062	 -0.412	FSR 0814         	05 36 49	+31 12 42	     	
177.066	 -0.406	Koposov 36       	05 36 51	+31 12 39	 1700	 8.350
177.068	 -0.192	FSR 0815         	05 37 42	+31 19 27	 2153	 8.655
181.779	 -3.051	NGC 1996         	05 38 10	+25 49 00	 1400	 8.450
176.781	 +0.120	FSR 0812         	05 38 13	+31 44 00	 3300	 7.000
180.422	 -2.139	Majaess 61       	05 38 23	+27 26 59	     	
206.811	-17.346	Sigma Orionis    	05 38 42	-02 36 00	  399	 7.110
171.618	 +3.562	Stock 10         	05 39 00	+37 56 00	  380	 7.900
221.623	-23.708	NGC 2017         	05 39 17	-17 50 48	 1120	 9.200
177.099	 +0.188	FSR 0816         	05 39 17	+31 30 05	 2100	 8.750
177.632	 -0.106	FSR 0817         	05 39 27	+30 53 36	 1359	 9.050
175.559	 +1.206	Teutsch 1        	05 39 29	+33 20 46	 4300	 8.300
175.558	 +1.211	Koposov 27       	05 39 30	+33 21 00	 3700	 8.650
176.625	 +0.894	Berkeley 71      	05 40 55	+32 16 40	 3260	 9.000
170.753	 +4.642	Teutsch 2        	05 41 22	+39 14 11	 3610	 8.950
178.749	 -0.185	FSR 0821         	05 41 53	+29 54 17	 1213	 9.100
184.829	 -3.819	FSR 0855         	05 42 22	+22 49 34	     	
179.123	 -0.225	FSR 0823         	05 42 38	+29 33 56	 1100	 8.805
177.939	 +0.533	Teutsch 45       	05 42 44	+30 58 17	 6770	 7.000
179.680	 -0.511	FSR 0826         	05 42 52	+28 56 29	 2100	 7.000
187.234	 -5.059	NGC 2026         	05 43 12	+20 08 00	 1418	 8.740
185.964	 -4.106	Koposov 77       	05 43 52	+21 42 37	 5400	 9.080
156.514	+13.417	NGC 2013         	05 44 01	+55 47 36	 1100	 9.180
238.929	-27.930	NGC 2061         	05 44 06	-33 56 06	  542	 9.320
179.956	 -0.295	Teutsch 10       	05 44 22	+28 49 13	 2600	 7.500
183.528	 -2.250	FSR 0850         	05 45 15	+24 45 13	 1836	 7.300
174.645	 +3.704	Koposov 10       	05 47 29	+35 25 56	 2000	 8.600
179.229	 +1.199	Basel 4          	05 48 30	+30 13 00	 3000	 8.300
199.031	-10.390	Collinder 74     	05 48 40	+07 21 30	 2510	 9.110
182.554	 -0.741	FSR 0846         	05 48 44	+26 22 05	 1881	 7.300
176.395	 +3.119	King 8           	05 49 24	+33 38 00	 6403	 8.618
182.034	 -0.169	Majaess 65       	05 49 44	+27 06 30	     	
180.539	 +0.811	Czernik 23       	05 50 04	+28 53 41	 2500	 8.450
186.273	 -2.550	Berkeley 72      	05 50 18	+22 14 59	 3500	 8.650
183.352	 -0.569	FSR 0849         	05 51 13	+25 46 18	 1063	 8.635
186.840	 -2.509	Berkeley 21      	05 51 42	+21 47 00	 5000	 9.340
182.058	 +0.425	Dutra Bica 83    	05 52 05	+27 23 30	 1586	 7.150
182.416	 +0.247	Majaess 68       	05 52 13	+26 59 33	     	
179.901	 +1.744	Koposov 43       	05 52 15	+29 55 09	 2800	 9.300
177.635	 +3.091	NGC 2099         	05 52 18	+32 33 12	 1383	 8.540
179.919	 +1.746	FSR 0828         	05 52 18	+29 54 16	     	
184.132	 -0.410	FSR 0852         	05 53 35	+25 10 52	 2200	 9.000
205.872	-12.615	NGC 2112         	05 53 45	+00 24 36	  940	 9.250
182.743	 +0.481	Teutsch 51       	05 53 52	+26 49 47	 3300	 8.900
268.690	-30.200	NGC 2132         	05 55 09	-59 54 37	  974	 9.220
188.052	 -2.216	Czernik 24       	05 55 25	+20 53 11	 4600	 9.400
187.442	 -1.114	Basel 11b        	05 58 12	+21 58 00	 1800	 8.400
192.139	 -3.802	Majaess 69       	05 58 14	+16 33 34	     	
199.877	 -8.079	Berkeley 22      	05 58 27	+07 45 24	 6000	 9.520
176.159	 +6.000	Koposov 12       	06 00 56	+35 16 36	 2000	 8.780
216.203	-15.661	Majaess 70       	06 00 58	-09 54 12	     	
186.601	 +0.144	NGC 2129         	06 01 07	+23 19 20	 2200	 7.000
163.186	+13.144	NGC 2126         	06 02 29	+49 55 04	 1090	 9.100
198.044	 -5.811	NGC 2141         	06 02 55	+10 26 48	 4033	 9.231
202.235	 -8.037	NGC 2143         	06 03 07	+05 43 42	  800	 9.150
189.587	 -0.757	FSR 0894         	06 04 05	+20 16 51	 2886	 7.200
179.807	 +4.750	Kronberger 60    	06 04 10	+31 29 44	 1960	 8.900
188.105	 +0.145	FSR 0883         	06 04 20	+22 00 52	 2977	 8.735
194.600	 -3.494	FSR 0932         	06 04 22	+14 34 22	 1090	 8.900
235.396	-22.288	ESO 425 06       	06 04 50	-29 10 59	 1100	 9.400
186.382	 +1.246	IC 2157          	06 04 50	+24 03 21	 2040	 7.800
186.294	 +1.300	IC 2156          	06 04 51	+24 09 30	 2100	 8.400
195.586	 -3.593	FSR 0942         	06 05 59	+13 39 52	 2000	 9.000
190.779	 -0.774	FSR 0900         	06 06 30	+19 13 59	 3465	 6.610
186.634	 +1.781	NGC 2158         	06 07 25	+24 05 48	 5071	 9.023
191.006	 -0.613	FSR 0903         	06 07 34	+19 06 46	 1633	 8.810
195.608	 -2.935	NGC 2169         	06 08 24	+13 57 54	 1052	 7.067
186.581	 +2.171	Kharchenko 1     	06 08 48	+24 19 54	 2520	 8.000
186.591	 +2.191	NGC 2168         	06 08 54	+24 20 00	  912	 8.250
184.898	 +3.128	FSR 0856         	06 08 55	+26 15 59	     	
184.902	 +3.130	Koposov 53       	06 08 56	+26 15 49	 5300	 7.950
185.440	 +2.890	FSR 0858         	06 09 09	+25 40 38	 2127	 9.005
203.966	 -7.246	Dias 2           	06 09 11	+04 35 35	 2835	 8.900
180.574	 +5.593	DC 8             	06 09 21	+31 13 54	 2100	 9.000
186.132	 +2.591	Dutra Bica 84    	06 09 28	+24 55 42	 6309	 6.950
228.801	-18.758	Platais 5        	06 09 36	-22 09 06	  272	 7.780
190.043	 +0.482	NGC 2175         	06 09 39	+20 29 12	 1627	 6.953
203.849	 -7.009	NGC 2180         	06 09 48	+04 48 26	  910	 8.850
186.516	 +2.527	Koposov 63       	06 10 02	+24 33 38	 3000	 9.150
186.524	 +2.536	FSR 0869         	06 10 05	+24 33 31	     	
196.660	 -2.999	FSR 0952         	06 10 15	+13 00 47	 1994	 9.105
193.328	 -1.119	FSR 0924         	06 10 26	+16 50 13	 1721	 8.870
193.230	 -1.019	FSR 0923         	06 10 36	+16 58 16	 1500	 8.700
190.078	 +0.797	Pismis 27        	06 10 54	+20 36 26	 1000	 7.700
195.540	 -2.192	FSR 0939         	06 10 57	+14 22 57	 2397	 8.710
211.427	-10.582	NGC 2184         	06 11 00	-03 29 00	  640	 8.370
162.161	+15.130	NGC 2165         	06 11 04	+51 40 36	 1445	 9.180
203.551	 -6.192	NGC 2186         	06 12 08	+05 27 13	 2700	 8.300
196.918	 -2.539	FSR 0956         	06 12 25	+13 00 26	 2180	 8.100
202.309	 -5.258	Czernik 25       	06 13 06	+06 59 00	 1980	 8.110
195.318	 -1.317	FSR 0937         	06 13 41	+14 59 47	 4597	 8.980
197.250	 -2.350	NGC 2194         	06 13 45	+12 48 24	 3781	 8.515
188.792	 +2.387	Kronberger 12    	06 14 15	+22 29 52	 1775	 8.200
195.553	 -1.285	FSR 0940         	06 14 16	+14 48 18	 2421	 9.400
208.123	 -7.904	Ferrero 11       	06 14 33	+00 38 30	 1500	 8.420
236.371	-20.356	ESO 425 15       	06 14 35	-29 22 30	  990	 9.000
197.314	 -2.098	Skiff J0614+12.9 	06 14 47	+12 52 15	 3150	 8.400
173.415	+10.654	NGC 2192         	06 15 17	+39 51 18	 3467	 9.150
205.368	 -6.220	Platais 6        	06 15 26	+03 50 42	  348	 7.780
226.014	-16.107	NGC 2204         	06 15 33	-18 39 54	 2629	 8.896
196.213	 -1.198	Ivanov 2         	06 15 53	+14 16 00	 2084	 7.150
203.622	 -4.905	NGC 2202         	06 16 50	+05 59 48	  900	 8.740
189.209	 +3.011	FSR 0891         	06 17 29	+22 25 38	 2075	 8.370
188.200	 +3.684	Collinder 89     	06 18 00	+23 38 00	  800	 7.500
187.250	 +4.197	Koposov 62       	06 18 02	+24 42 38	 2800	 9.400
190.976	 +2.285	FSR 0902         	06 18 19	+20 31 42	 1243	 7.145
196.680	 -0.582	FSR 0953         	06 19 02	+14 08 53	 1734	 8.750
192.845	 +1.565	Skiff J0619+18.5 	06 19 22	+18 32 30	 1380	 7.900
167.520	+14.422	ASCC 23          	06 20 20	+46 40 12	  600	 8.450
252.500	-23.926	NGC 2220         	06 20 35	-44 40 42	 1170	 9.480
215.993	-10.102	NGC 2215         	06 20 49	-07 17 00	  790	 8.850
207.415	 -5.522	Collinder 91     	06 21 42	+02 22 00	 1467	 8.640
195.590	 +0.754	FSR 0941         	06 21 47	+15 44 23	 5800	 8.700
215.278	 -9.424	Berkeley 73      	06 22 00	-06 21 00	 9800	 9.180
205.109	 -3.981	Collinder 92     	06 22 54	+05 07 00	 2670	 9.145
205.621	 -4.122	Dolidze 22       	06 23 21	+04 35 57	 2152	 8.550
213.960	 -8.288	NGC 2219         	06 23 44	-04 40 36	 2023	 8.900
193.837	 +2.328	FSR 0927         	06 24 10	+18 01 30	 2981	 8.650
197.017	 +0.976	FSR 0957         	06 25 22	+14 34 59	 1786	 8.735
197.649	 +0.647	Teutsch 11       	06 25 23	+13 52 13	 3443	 8.700
192.431	 +3.401	Bochum 1         	06 25 25	+19 46 00	 2803	 6.686
194.259	 +2.474	FSR 0929         	06 25 32	+17 43 12	 1296	 8.495
197.922	 +0.581	Teutsch 12       	06 25 40	+13 35 54	 8900	 8.480
195.944	 +1.682	FSR 0948         	06 25 53	+15 51 39	 2330	 9.000
218.780	 -9.861	NGC 2225         	06 26 36	-09 38 18	 3200	 9.110
214.432	 -7.542	NGC 2232         	06 27 15	-04 45 30	  359	 7.727
198.968	 +0.544	NGC 2224         	06 27 32	+12 39 20	 2415	 7.000
205.319	 -2.695	Majaess 79       	06 27 52	+05 31 40	     	
216.640	 -8.227	ASCC 24          	06 28 44	-07 01 12	  400	 6.960
195.534	 +2.832	NGC 2234         	06 29 20	+16 45 27	 4800	 7.700
202.258	 -0.665	Alessi 53        	06 29 24	+09 10 49	 4570	 8.400
239.478	-18.014	NGC 2243         	06 29 34	-31 17 00	 4458	 9.032
204.370	 -1.699	NGC 2236         	06 29 39	+06 49 48	 2930	 8.538
207.484	 -3.166	FSR 1031         	06 30 12	+03 23 36	 1791	 8.635
207.964	 -3.386	Collinder 96     	06 30 18	+02 52 00	  962	 7.031
214.347	 -6.508	Czernik 26       	06 30 48	-04 13 00	 8872	 9.000
219.261	 -8.931	vdBergh 80       	06 30 50	-09 39 18	 2100	 6.700
201.747	 +0.006	Collinder 95     	06 30 51	+09 56 37	  556	
206.170	 -2.273	NGC 2239         	06 30 57	+04 58 09	 3900	 6.700
200.790	 +0.630	FSR 0979         	06 31 18	+11 04 51	 1933	 8.700
205.370	 -1.758	Collinder 97     	06 31 18	+05 55 00	  630	 8.000
204.602	 -1.312	Juchert 18       	06 31 28	+06 48 12	 2290	 9.020
200.176	 +1.102	FSR 0977         	06 31 51	+11 50 38	 1916	 8.680
206.306	 -2.072	NGC 2244         	06 31 55	+04 56 30	 1660	 6.280
199.659	 +1.600	FSR 0974         	06 32 41	+12 31 55	 2308	 8.910
179.212	+11.846	NGC 2240         	06 33 10	+35 15 00	 1551	 9.200
192.606	 +5.446	Berkeley 23      	06 33 30	+20 33 00	 6918	 8.900
215.468	 -6.238	NGC 2250         	06 33 47	-05 05 18	 1795	 8.780
203.779	 -0.120	Basel 8          	06 34 12	+08 05 00	 1328	 8.102
211.252	 -3.860	FSR 1063         	06 34 38	-00 16 01	 2032	 8.860
203.577	 +0.106	NGC 2251         	06 34 38	+08 22 00	 1329	 8.427
206.248	 -1.261	NGC 2252         	06 34 42	+05 22 00	  900	 8.840
204.327	 +0.047	NGC 2254         	06 35 49	+07 40 24	 2364	 8.307
211.763	 -3.743	FSR 1065         	06 35 59	-00 40 04	 1551	 8.790
239.624	-16.518	ESO 426 26       	06 36 18	-30 51 30	 1240	 9.000
223.952	 -9.684	Ruprecht 1       	06 36 21	-14 08 49	 1480	 8.680
206.943	 -1.116	Collinder 104    	06 36 30	+04 49 00	 2025	 8.500
203.816	 +0.530	Basel 7          	06 36 36	+08 21 00	 1684	 8.033
206.265	 -0.719	Majaess 82       	06 36 40	+05 36 02	     	
202.865	 +1.050	Trumpler 5       	06 36 42	+09 26 00	 2820	 9.600
208.555	 -1.808	vdBergh 1        	06 37 00	+03 04 00	 1687	 8.025
206.004	 -0.463	Collinder 106    	06 37 06	+05 57 00	 1000	 9.900
207.154	 -0.889	Collinder 107    	06 37 42	+04 44 00	 1738	 7.000
212.151	 -3.436	Berkeley 24      	06 37 47	-00 52 19	 4700	 9.340
212.718	 -3.650	NGC 2260         	06 38 03	-01 28 24	 1985	 7.000
201.762	 +2.075	NGC 2259         	06 38 21	+10 53 00	 3311	 8.500
209.649	 -1.979	Collinder 110    	06 38 24	+02 01 00	 1950	 9.150
205.343	 +0.327	Collinder 111    	06 38 42	+06 54 00	 1191	 7.700
210.567	 -2.104	NGC 2262         	06 39 38	+01 08 36	 3600	 9.000
210.243	 -1.853	FSR 1053         	06 39 56	+01 32 48	 1202	 8.800
199.794	 +3.537	FSR 0975         	06 40 00	+13 17 58	 4626	 9.100
236.560	-14.401	vdBergh 83       	06 40 00	-27 19 00	 1925	 9.350
202.936	 +2.196	NGC 2264         	06 40 58	+09 53 42	  667	 6.954
226.612	 -9.700	Berkeley 25      	06 41 00	-16 31 00	11400	 9.700
238.774	-15.075	Ruprecht 2       	06 41 01	-29 33 00	 3161	 8.945
201.225	 +3.268	NGC 2265         	06 41 41	+11 54 18	 2160	 8.480
212.647	 -2.524	FSR 1077         	06 41 56	-00 53 48	 1298	 8.935
223.494	 -7.933	DC 1             	06 42 01	-12 58 27	     	
238.780	-14.817	Ruprecht 3       	06 42 07	-29 27 15	 1100	 9.180
211.919	 -1.875	Dolidze 23       	06 42 55	+00 02 46	  625	
210.489	 -1.099	Alessi 15        	06 43 04	+01 40 19	 1599	 9.250
207.887	 +0.299	NGC 2269         	06 43 17	+04 37 30	 1687	 8.416
187.790	+10.294	NGC 2266         	06 43 19	+26 58 12	 3000	 8.800
210.102	 -0.755	Alessi 16        	06 43 35	+02 10 24	 1191	 9.050
210.824	 -1.032	Teutsch 13       	06 43 55	+01 24 17	 2780	 7.480
208.983	 -0.078	NGC 2270         	06 43 57	+03 28 42	 1400	 8.640
210.662	 -0.734	Dolidze 24       	06 44 41	+01 41 05	 1261	 8.450
212.646	 -1.741	Patchick 90      	06 44 43	-00 32 22	 6310	 8.950
211.942	 -1.273	Dolidze 25       	06 45 06	+00 18 00	 6800	 6.800
222.804	 -6.656	SAI 69           	06 45 28	-11 47 40	 7140	 9.100
190.181	 +9.728	ASCC 25          	06 45 32	+24 36 00	 1400	 8.860
231.020	-10.445	NGC 2287         	06 46 01	-20 45 24	  710	 8.400
210.797	 -0.293	Collinder 115    	06 46 30	+01 46 00	 1917	 8.550
211.228	 -0.401	vdBergh 85       	06 46 54	+01 20 00	 1641	 7.850
212.440	 -0.976	Dolidze 49       	06 47 04	-00 00 25	 2398	 8.330
215.306	 -2.273	NGC 2286         	06 47 40	-03 08 54	 2600	 8.300
174.901	+16.881	NGC 2281         	06 48 17	+41 04 42	  558	 8.554
212.301	 -0.390	Bochum 2         	06 48 54	+00 23 00	 2661	 6.665
222.047	 -5.339	Ruprecht 4       	06 48 54	-10 32 00	 4700	 8.900
234.307	-11.188	Berkeley 75      	06 49 01	-23 59 48	 9100	 9.600
207.682	 +2.366	Berkeley 26      	06 50 18	+05 45 00	12589	 9.600
206.355	 +3.069	ASCC 26          	06 50 24	+07 15 00	  800	 8.090
206.943	 +2.798	FSR 1025         	06 50 30	+06 36 14	 2095	 8.600
251.968	-18.039	ESO 309 03       	06 50 39	-42 23 24	 1753	 8.800
207.784	 +2.607	Berkeley 27      	06 51 21	+05 46 07	 5035	 9.300
212.558	 +0.279	NGC 2301         	06 51 45	+00 27 36	  870	 8.200
219.297	 -3.117	NGC 2302         	06 51 55	-07 05 00	 1500	 7.080
210.407	 +1.506	Berkeley 28      	06 52 12	+02 56 00	 2557	 7.846
209.778	 +1.833	FSR 1051         	06 52 13	+03 38 30	 1180	 8.790
211.082	 +1.194	Alessi 59        	06 52 19	+02 11 27	 3500	 7.600
234.346	-10.327	Ruprecht 149     	06 52 30	-23 40 00	 2362	 8.750
213.302	 +0.301	FSR 1085         	06 53 11	-00 11 31	 1429	 8.735
197.983	 +8.025	Berkeley 29      	06 53 18	+16 55 00	14871	 9.025
217.118	 -1.457	ASCC 27          	06 53 53	-04 23 24	 1200	 8.750
225.339	 -5.573	DC 4             	06 54 03	-13 34 03	 2304	 8.700
207.235	 +3.644	FSR 1029         	06 54 04	+06 43 39	 1905	 8.930
213.383	 +0.507	ASCC 28          	06 54 04	-00 10 12	  800	 8.340
214.727	 -0.116	ASCC 29          	06 54 18	-01 39 00	  750	 8.060
219.693	 -2.605	NGC 2306         	06 54 29	-07 12 12	 1200	 8.850
197.216	 +8.901	NGC 2304         	06 55 13	+17 58 57	 4400	 8.800
230.004	 -7.555	Ruprecht 5       	06 55 14	-18 36 00	 4712	 9.150
213.227	 +1.074	SAI 72           	06 55 48	+00 13 37	 3150	 8.500
225.297	 -5.021	Ruprecht 6       	06 56 00	-13 17 00	 7691	 9.500
219.845	 -2.246	NGC 2309         	06 56 03	-07 10 30	 2511	 8.400
235.702	 -9.991	Collinder 121    	06 56 20	-24 43 46	 1100	 7.080
219.092	 -1.596	ASCC 30          	06 57 00	-06 12 36	  800	 8.200
219.488	 -1.724	FSR 1144         	06 57 16	-06 37 12	 1737	 8.180
206.254	 +5.120	Berkeley 31      	06 57 36	+08 16 00	 8272	 9.313
225.424	 -4.622	Berkeley 33      	06 57 42	-13 13 00	 6000	 8.900
210.780	 +2.858	Berkeley 30      	06 57 42	+03 13 00	 4790	 8.480
217.759	 -0.694	NGC 2311         	06 57 47	-04 36 42	 2290	 8.600
207.952	 +4.404	Berkeley 32      	06 58 06	+06 26 00	 3078	 9.700
212.940	 +1.914	FSR 1080         	06 58 16	+00 51 54	 1753	 8.370
204.563	 +6.290	NGC 2312         	06 58 47	+10 17 42	 2245	 8.520
221.926	 -2.401	FSR 1163         	06 59 19	-09 05 50	 1706	 9.150
226.048	 -4.460	NGC 2318         	06 59 27	-13 41 54	 1335	 7.700
217.494	 -0.016	Ivanov 9         	06 59 43	-04 04 00	  736	 7.900
223.117	 -2.760	FSR 1171         	07 00 13	-10 19 14	 4110	 9.500
219.132	 -0.680	Wit 1            	07 00 21	-05 49 36	 1952	 6.350
214.159	 +1.884	Berkeley 34      	07 00 23	-00 13 56	 7280	 9.450
216.638	 +0.630	Ferrero 10       	07 00 27	-03 00 36	     	
232.334	 -7.314	Tombaugh 1       	07 00 29	-20 34 00	 4169	 8.980
221.857	 -2.028	Ivanov 4         	07 00 32	-08 52 00	  717	 7.000
211.258	 +3.409	NGC 2319         	07 00 32	+03 02 30	 1100	 8.610
210.891	 +3.698	ASCC 31          	07 00 54	+03 30 00	  600	 8.630
216.848	 +0.803	Wit 2            	07 01 27	-03 07 03	 2830	 8.785
226.194	 -3.920	Ruprecht 8       	07 01 42	-13 35 00	 2190	 8.845
237.883	 -9.605	Alessi 33        	07 01 59	-26 30 12	  750	 8.180
233.725	 -7.570	Ruprecht 9       	07 02 07	-21 55 00	 3434	 8.795
215.200	 +1.945	Alessi 60        	07 02 30	-01 07 51	 2906	 8.400
221.672	 -1.331	NGC 2323         	07 02 42	-08 23 00	  950	 8.000
278.142	-23.809	NGC 2348         	07 03 03	-67 24 42	 1070	 9.260
232.832	 -6.880	Tombaugh 2       	07 03 05	-20 49 00	 6080	 9.010
236.676	 -8.729	ASCC 33          	07 03 11	-25 03 00	  800	 7.260
208.540	 +5.528	Czernik 27       	07 03 12	+06 25 00	 4285	 9.050
218.789	 +0.350	Bochum 3         	07 03 24	-05 03 00	 1762	 7.890
224.610	 -2.509	vdBergh 92       	07 03 54	-11 32 00	 1500	 7.590
213.447	 +3.297	NGC 2324         	07 04 07	+01 02 42	 3800	 8.650
231.997	 -6.155	Auner 1          	07 04 16	-19 45 00	 8900	 9.510
220.314	 -0.096	FSR 1150         	07 04 37	-06 36 38	 5664	 8.800
225.475	 -2.568	BDSB96           	07 05 18	-12 19 44	 1400	 6.700
240.015	 -9.647	Ruprecht 150     	07 05 55	-28 25 00	 1789	 8.700
227.940	 -3.586	Haffner 4        	07 06 12	-14 59 00	 4500	 8.700
241.648	-10.341	ESO 427 32       	07 06 14	-30 10 00	 1786	 9.105
232.554	 -5.851	Ruprecht 10      	07 06 29	-20 06 32	 2900	 9.040
225.099	 -1.998	Berkeley 76      	07 06 40	-11 44 00	12600	 9.180
223.600	 -1.183	NGC 2335         	07 06 49	-10 01 42	 1417	 8.210
224.059	 -1.406	Collinder 465    	07 06 52	-10 32 18	 5410	 8.800
224.224	 -1.473	Collinder 466    	07 06 56	-10 42 54	 2123	 8.800
189.728	+15.218	NGC 2331         	07 06 59	+27 15 42	 1285	 9.230
227.024	 -2.880	FSR 1209         	07 07 04	-13 50 51	 2964	 9.120
239.939	 -9.305	Ruprecht 12      	07 07 10	-28 12 00	  900	 7.560
233.267	 -5.981	Ruprecht 11      	07 07 21	-20 48 00	 1870	 9.180
226.132	 -2.320	FSR 1202         	07 07 26	-12 47 54	 2436	 9.225
222.641	 -0.510	FSR 1170         	07 07 27	-08 52 03	 2276	 8.755
219.885	 +1.012	NGC 2338         	07 07 47	-05 43 12	 1800	 8.740
237.889	 -8.144	Ruprecht 13      	07 07 51	-25 52 11	 1300	 9.000
224.268	 -1.173	NGC 2343         	07 08 06	-10 37 00	 1056	 7.104
226.580	 -2.314	NGC 2345         	07 08 18	-13 11 36	 2251	 7.853
226.315	 -2.168	FSR 1204         	07 08 20	-12 53 28	 1706	 9.320
216.301	 +3.248	FSR 1113         	07 09 09	-01 30 43	 5805	 8.300
230.045	 -3.800	Haffner 23       	07 09 24	-16 57 00	 1000	 8.840
212.602	 +5.360	Berkeley 35      	07 09 56	+02 44 01	 4390	 8.950
139.585	+27.352	OCl 374          	07 10 12	+75 12 12	 1900	 7.850
209.672	 +6.993	ASCC 34          	07 10 30	+06 04 12	  550	 8.550
222.600	 +0.365	Dias 3           	07 10 31	-08 25 39	 4650	 9.150
223.437	 +0.004	Alessi 21        	07 10 47	-09 20 12	  500	 7.470
222.780	 +0.351	NGC 2349         	07 10 48	-08 35 36	 1628	 8.880
213.463	 +5.689	ASCC 35          	07 12 40	+02 07 12	  800	 8.490
236.774	 -6.263	NGC 2352         	07 13 05	-24 02 18	 1750	 8.080
